Candidate,Declared,Age,Bio,Color,Date,TripDescription,Address,URL,Lat,Lon
Julián Castro,Declared,Past,,Blue,Catholic Worker House,Nov. 12: Presidential hopeful Julián Castro made a three-day swing through Iowa and stopped in Iowa City on Tuesday to attend an immigration roundtable discussion at the Catholic Worker House.,catholic worker house,https://dailyiowan.com/2019/11/12/julian-castro-immigration-roundtable-in-iowa-city-tuesday/,41.645283,-91.511328
Bernie Sanders,Declared,Past,,Blue,Coralville Marriott Hotel and Conference Center,"Nov. 9: Alexandria Ocasio-Cortez joined Bernie Sanders in Coralville on Saturday, where the two touted the grassroots nature of Sanders’ campaign and money in politics.", marriott,https://dailyiowan.com/2019/11/09/bernie-sanders-and-alexandria-ocasio-cortez-preach-solidarity-diversity-in-coralville-stop/,41.6817426,-91.558578
Kamala Harris,Declared,Past,,Blue,Carver-Hawkeye Arena ,"Oct. 22: According to Sen. Kamala Harris' reproductive health-care plan, Iowa's fetal-heartbeat law would have been subject to a ""pre-clearance"" standard.",carver,https://dailyiowan.com/2019/10/22/kamala-harris-on-reproductive-health-care-we-need-to-declare-it-a-priority/,41.663782,-91.5567934
Marianne Williamson,Declared,Past,,Blue,IMU,"Oct. 22: For Democratic presidential hopeful Marianne Williamson, the best way to stand up to climate change, military overspending, and Donald Trump is to firmly say “not on my watch.”",imu,https://dailyiowan.com/2019/10/22/marianne-williamson-says-her-campaign-must-continue/,41.6629359,-91.5378966
Tulsi Gabbard,Declared,Past,,Blue,Emma Goldman Clinic ,"Oct. 18: Tulsi Gabbard responded to Hillary Clinton’s comments accusing Gabbard of being ""groomed"" for a third-party run by Russia.",emma golman,https://dailyiowan.com/2019/10/18/tulsi-gabbard-calls-clinton-comments-despicable-in-iowa-city-2020-tulsi-hillary/,41.6644401,-91.5333651
Julián Castro,Declared,Past,,Blue,St. Andrew Presbyterian Church,"Oct. 18: At a summit with the Inside Out Re-entry Community, Former HUD Secretary Julián Castro touched on housing, employment, and policing when speaking about criminal justice.",church,https://dailyiowan.com/2019/10/18/julian-castro-talks-criminal-justice-at-re-entry-summit/,41.6601648,-91.5971
John Delaney,Declared,Past,,Blue,Moxie Solar,"Oct. 11: In a press release Thursday, presidential hopeful Cory Booker detailed how he would address “exploitative labor practices” in the sporting industry, with an eye toward college sports.",,https://dailyiowan.com/2019/10/18/john-delaney-centers-campaign-on-jobs-climate-change/,41.7417919,-91.608224
Cory Booker,Declared,Past,,Blue,IMU,"Oct. 7: In a visit to the University of Iowa campus Monday, Sen. Cory Booker, D-N.J., hopes to gain traction in Iowa four months out from caucuses after reaching a major fundraising goal at the end of the third quarter.",imu,https://dailyiowan.com/2019/10/07/cory-booker-sink-or-swim-fundraising-deadline-a-moment-of-incredible-radical-transparency/,41.6629359,-91.5378566
Michael Bennet,Declared,Past,,Blue,Carpenters Union Local,Dec. 1,carpenters union,https://dailyiowan.com/,41.6484506,-91.4975802
Marianne Williamson,Declared,past,,Blue,Heartland Yoga,Dec. 1,heartland yoga,https://dailyiowan.com/,41.6586071,-91.531789
Marianne Williamson,declared,past,,Blue,IMU,Dec. 1,imu,https://dailyiowan.com/,41.6629359,-91.5378166
Pete Buttigieg,declared,past,,Green,Coralville Marriot Hotel and Conference Center,Dec. 8,coralville mariott,https://dailyiowan.com/,41.6817426,-91.558278